.pred,date_time,datetime,date,year,month,wday,day,hour,dow,doy,quarter,period,hourly_temperature_2m.x,hourly_weathercode.x,hourly_temperature_2m.y,hourly_weathercode.y,average_temp,temp_diff,brux_wc,brug_wc,holiday,holiday_flag,max_past_24,min_past_24,mean_week,last_period,cooling,h_sin,time_human,type,resolution_code,total_load,temperature_2m,weather_code,weekday,label
6785.288006069402,2023-05-27T00:15:00Z,2023-05-27T00:15:00Z,2023-05-27,2023,5,7,27,0,7,147,2,0 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7335.801,7335.801,7335.801,7026.803,NA,0,morning,preds,NA,NA,NA,NA,NA,NA
6731.732551527491,2023-05-27T00:30:00Z,2023-05-27T00:30:00Z,2023-05-27,2023,5,7,27,0,7,147,2,0 30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7335.801,7335.801,7335.801,7026.803,NA,0,morning,preds,NA,NA,NA,NA,NA,NA
6987.694904840496,2023-05-27T00:45:00Z,2023-05-27T00:45:00Z,2023-05-27,2023,5,7,27,0,7,147,2,0 45,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7335.801,7335.801,7335.801,7026.803,NA,0,morning,preds,NA,NA,NA,NA,NA,NA
5873.419951624915,2023-05-27T01:00:00Z,2023-05-27T01:00:00Z,2023-05-27,2023,5,7,27,1,7,147,2,1 0,10.5,0,9.9,0,10.2,0.5999999999999996,0,0,NA,0,7335.801,7335.801,7335.801,7026.803,15,0.2697967711570243,morning,preds,NA,NA,NA,NA,NA,NA
6170.7033095952565,2023-05-27T01:15:00Z,2023-05-27T01:15:00Z,2023-05-27,2023,5,7,27,1,7,147,2,1 15,NA,NA,NA,NA,10.2,0.5999999999999996,NA,NA,NA,0,8391.151,7335.801,7546.871,7359.627,15,0.2697967711570243,morning,preds,NA,NA,NA,NA,NA,NA
5757.773152337516,2023-05-27T01:30:00Z,2023-05-27T01:30:00Z,2023-05-27,2023,5,7,27,1,7,147,2,1 30,NA,NA,NA,NA,10.2,0.5999999999999996,NA,NA,NA,0,8391.151,7335.801,7687.584333333333,7359.627,15,0.2697967711570243,morning,preds,NA,NA,NA,NA,NA,NA
5719.277532366027,2023-05-27T01:45:00Z,2023-05-27T01:45:00Z,2023-05-27,2023,5,7,27,1,7,147,2,1 45,NA,NA,NA,NA,10.2,0.5999999999999996,NA,NA,NA,0,8391.151,7335.801,7788.093857142857,7359.627,15,0.2697967711570243,morning,preds,NA,NA,NA,NA,NA,NA
6170.463686879214,2023-05-27T02:00:00Z,2023-05-27T02:00:00Z,2023-05-27,2023,5,7,27,2,7,147,2,2 0,9.8,0,9.4,0,9.600000000000001,0.40000000000000036,0,0,NA,0,8391.151,7335.801,7863.476000000001,7359.627,15,0.5195839500354336,morning,preds,NA,NA,NA,NA,NA,NA
5684.757270809809,2023-05-27T02:15:00Z,2023-05-27T02:15:00Z,2023-05-27,2023,5,7,27,2,7,147,2,2 15,NA,NA,NA,NA,9.600000000000001,0.40000000000000036,NA,NA,NA,0,8391.151,6709.577,7735.265,8202.102,15,0.5195839500354336,morning,preds,NA,NA,NA,NA,NA,NA
5751.992931039624,2023-05-27T02:30:00Z,2023-05-27T02:30:00Z,2023-05-27,2023,5,7,27,2,7,147,2,2 30,NA,NA,NA,NA,9.600000000000001,0.40000000000000036,NA,NA,NA,0,8391.151,6709.577,7632.6962,8202.102,15,0.5195839500354336,morning,preds,NA,NA,NA,NA,NA,NA
6154.0987977067,2023-05-27T02:45:00Z,2023-05-27T02:45:00Z,2023-05-27,2023,5,7,27,2,7,147,2,2 45,NA,NA,NA,NA,9.600000000000001,0.40000000000000036,NA,NA,NA,0,8391.151,6709.577,7548.776272727273,8202.102,15,0.5195839500354336,morning,preds,NA,NA,NA,NA,NA,NA
6248.864281880277,2023-05-27T03:00:00Z,2023-05-27T03:00:00Z,2023-05-27,2023,5,7,27,3,7,147,2,3 0,9.1,0,8.8,0,8.95,0.29999999999999893,0,0,NA,0,8391.151,6709.577,7478.843,8202.102,15,0.730835964278124,morning,preds,NA,NA,NA,NA,NA,NA
6354.511750244493,2023-05-27T03:15:00Z,2023-05-27T03:15:00Z,2023-05-27,2023,5,7,27,3,7,147,2,3 15,NA,NA,NA,NA,8.95,0.29999999999999893,NA,NA,NA,0,8391.151,6709.577,7531.304538461539,6200.285,15,0.730835964278124,morning,preds,NA,NA,NA,NA,NA,NA
6168.872805200841,2023-05-27T03:30:00Z,2023-05-27T03:30:00Z,2023-05-27,2023,5,7,27,3,7,147,2,3 30,NA,NA,NA,NA,8.95,0.29999999999999893,NA,NA,NA,0,8391.151,6709.577,7576.271571428571,6200.285,15,0.730835964278124,morning,preds,NA,NA,NA,NA,NA,NA
6006.883879300456,2023-05-27T03:45:00Z,2023-05-27T03:45:00Z,2023-05-27,2023,5,7,27,3,7,147,2,3 45,NA,NA,NA,NA,8.95,0.29999999999999893,NA,NA,NA,0,8391.151,6709.577,7615.243,6200.285,15,0.730835964278124,morning,preds,NA,NA,NA,NA,NA,NA
6283.7036051199775,2023-05-27T04:00:00Z,2023-05-27T04:00:00Z,2023-05-27,2023,5,7,27,4,7,147,2,4 0,8.5,0,8.3,1,8.4,0.1999999999999993,1,0,NA,0,8391.151,6709.577,7649.343,6200.285,15,0.8878852184023752,morning,preds,NA,NA,NA,NA,NA,NA
6201.752239032661,2023-05-27T04:15:00Z,2023-05-27T04:15:00Z,2023-05-27,2023,5,7,27,4,7,147,2,4 15,NA,NA,NA,NA,8.4,0.1999999999999993,NA,NA,NA,0,8673.161,6709.577,7709.567588235294,7330.901,15,0.8878852184023752,morning,preds,NA,NA,NA,NA,NA,NA
6189.101948755521,2023-05-27T04:30:00Z,2023-05-27T04:30:00Z,2023-05-27,2023,5,7,27,4,7,147,2,4 30,NA,NA,NA,NA,8.4,0.1999999999999993,NA,NA,NA,0,8673.161,6709.577,7763.100555555556,7330.901,15,0.8878852184023752,morning,preds,NA,NA,NA,NA,NA,NA
6528.768322452635,2023-05-27T04:45:00Z,2023-05-27T04:45:00Z,2023-05-27,2023,5,7,27,4,7,147,2,4 45,NA,NA,NA,NA,8.4,0.1999999999999993,NA,NA,NA,0,8673.161,6709.577,7810.998473684211,7330.901,15,0.8878852184023752,morning,preds,NA,NA,NA,NA,NA,NA
6583.161530886606,2023-05-27T05:00:00Z,2023-05-27T05:00:00Z,2023-05-27,2023,5,7,27,5,7,147,2,5 0,8.4,2,8.5,3,8.45,-0.09999999999999964,3,2,NA,0,8673.161,6709.577,7854.1066,7330.901,15,0.9790840876823228,early morning,preds,NA,NA,NA,NA,NA,NA
6591.219840402082,2023-05-27T05:15:00Z,2023-05-27T05:15:00Z,2023-05-27,2023,5,7,27,5,7,147,2,5 15,NA,NA,NA,NA,8.45,-0.09999999999999964,NA,NA,NA,0,8673.161,6709.577,7869.080523809524,8798.472,15,0.9790840876823228,early morning,preds,NA,NA,NA,NA,NA,NA
6762.276340745911,2023-05-27T05:30:00Z,2023-05-27T05:30:00Z,2023-05-27,2023,5,7,27,5,7,147,2,5 30,NA,NA,NA,NA,8.45,-0.09999999999999964,NA,NA,NA,0,8673.161,6709.577,7882.693181818182,8798.472,15,0.9790840876823228,early morning,preds,NA,NA,NA,NA,NA,NA
6628.338639274787,2023-05-27T05:45:00Z,2023-05-27T05:45:00Z,2023-05-27,2023,5,7,27,5,7,147,2,5 45,NA,NA,NA,NA,8.45,-0.09999999999999964,NA,NA,NA,0,8673.161,6709.577,7895.122130434783,8798.472,15,0.9790840876823228,early morning,preds,NA,NA,NA,NA,NA,NA
6757.127215094128,2023-05-27T06:00:00Z,2023-05-27T06:00:00Z,2023-05-27,2023,5,7,27,6,7,147,2,6 0,9.1,3,9.6,2,9.35,-0.5,2,3,NA,0,8673.161,6709.577,7906.515333333334,8798.472,15,0.9976687691905392,early morning,preds,NA,NA,NA,NA,NA,NA
6746.280528694388,2023-05-27T06:15:00Z,2023-05-27T06:15:00Z,2023-05-27,2023,5,7,27,6,7,147,2,6 15,NA,NA,NA,NA,9.35,-0.5,NA,NA,NA,0,8673.161,6709.577,7861.16932,8340.704,15,0.9976687691905392,early morning,preds,NA,NA,NA,NA,NA,NA
6638.314604855525,2023-05-27T06:30:00Z,2023-05-27T06:30:00Z,2023-05-27,2023,5,7,27,6,7,147,2,6 30,NA,NA,NA,NA,9.35,-0.5,NA,NA,NA,0,8673.161,6709.577,7819.311461538462,8340.704,15,0.9976687691905392,early morning,preds,NA,NA,NA,NA,NA,NA
6350.254381055548,2023-05-27T06:45:00Z,2023-05-27T06:45:00Z,2023-05-27,2023,5,7,27,6,7,147,2,6 45,NA,NA,NA,NA,9.35,-0.5,NA,NA,NA,0,8673.161,6709.577,7780.554185185185,8340.704,15,0.9976687691905392,early morning,preds,NA,NA,NA,NA,NA,NA
